as_of_date,trading_date,symbol,company,closing_price,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent
2023-06-30,2023-06-27,MTL,Millat Tractors Limited,390.31,86309204.0,86309204.0,1.0,33687345413.24,55588.41935483871,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4210945679898062,0.0019645484575698366,0.21152955822368802,20.0,True
2023-06-30,2023-06-27,NETSOL,NetSol Technologies Limited,74.83,26951077.0,26951077.0,1.0,2016749091.91,372152.5263157895,0.5564516129032258,104,,,,,True,True,False,True,True,True,True,False,,,,,
2023-06-30,2023-06-27,NRL,National Refinary Ltd.,150.0,26226493.0,26226493.0,1.0,3933973950.0,336858.3548387097,1.0,182,,,,,True,True,True,True,True,True,True,True,0.014934855059968105,0.04620450051151585,0.03056967778574198,26.0,True
2023-06-30,2023-06-27,OGDC,Oil & Gas Development Company Limited,78.0,645139260.0,645139260.0,1.0,50320862280.0,5676246.741935484,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6481567160211198,0.8860179908377965,0.7670873534294582,1.0,True
2023-06-30,2023-06-27,PAEL,Pak Elektron Limited,9.05,428006078.0,428006078.0,1.0,3873455005.9,1808591.6578947369,0.5564516129032258,104,,,,,True,True,False,True,True,True,True,False,,,,,
2023-06-30,2023-06-27,POL,Pakistan Oilfields Limited,401.77,129853450.0,129853450.0,1.0,52171220606.5,231395.83870967742,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6734157360833369,0.029616674837895502,0.35151620546061624,13.0,True
2023-06-30,2023-06-27,PPL,Pakistan Petroleum Limited.,59.14,667830262.0,667830262.0,1.0,39495481694.68,6400924.5698924735,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5003807412438729,1.0,0.7501903706219364,2.0,True
2023-06-30,2023-06-27,PRL,Pakistan Refinery Limited,13.56,223912706.0,223912706.0,1.0,3036256293.36,3414350.8157894737,0.5564516129032258,104,,,,,True,True,False,True,True,True,True,False,,,,,
2023-06-30,2023-06-27,PSO,Pakistan State Oil Co Ltd.,111.01,211262985.0,211262985.0,1.0,23452303964.85,973581.1935483871,1.0,182,,,,,True,True,True,True,True,True,True,True,0.28137724211838067,0.14635238090161118,0.21386481150999592,19.0,True
2023-06-30,2023-06-27,SNGP,Sui Northern Gas Pipelines Limited,39.37,285397499.0,285397499.0,1.0,11236099535.63,2288665.0789473685,0.5564516129032258,104,,,,,True,True,False,True,True,True,True,False,,,,,
2023-06-30,2023-06-27,SYS,Systems Limited,403.33,188667505.0,188667505.0,1.0,76095264791.65,469207.5698924731,1.0,182,,,,,True,True,True,True,True,True,True,True,1.0,0.06702123984159487,0.5335106199207974,5.0,True
2023-06-30,2023-06-27,TPLP,TPL Properties Limited,12.46,227922627.0,227922627.0,1.0,2839915932.42,4597456.989247312,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0,0.7163389710978793,0.3581694855489396,12.0,True
2023-06-30,2023-06-27,TRG,TRG Pakistan Ltd.,92.13,381773466.0,381773466.0,1.0,35172789422.58,3681664.2365591396,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4413721863818022,0.5722971722451923,0.5068346793134972,7.0,True
2023-06-30,2023-06-27,UBL,United Bank Limited,117.54,489671875.0,489671875.0,1.0,57556032187.5,1111668.6666666667,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7469231545156433,0.16807167052100797,0.45749741251832565,9.0,True
2023-06-30,2023-06-27,UNITY,Unity Foods Limited.,15.63,477620000.0,477620000.0,1.0,7465200600.0,2175043.2365591396,1.0,182,,,,,True,True,True,True,True,True,True,True,0.06313920743819139,0.3353260907508093,0.19923264909450036,21.0,True
2023-12-31,2024-01-01,APL,Attock Petroleum Limited,398.82,31104000.0,31104000.0,1.0,12404897280.0,,0.5873015873015873,108,,,,,True,True,False,True,True,True,True,False,,,,,
2023-12-31,2024-01-01,ATRL,Attock Refinery Limited,341.23,42646500.0,42646500.0,1.0,14552265195.0,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0691697921276619,1.0,0.534584896063831,21.0,True
2023-12-31,2024-01-01,AVN,Avanceon Limited.,60.73,112889355.0,112889355.0,1.0,6855770529.15,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0,1.0,0.5,24.0,True
2023-12-31,2024-01-01,BAFL,Bank Alfalah Limited,49.2,709724304.0,709724304.0,1.0,34918435756.8,,0.5873015873015873,108,,,,,True,True,False,True,True,True,True,False,,,,,
2023-12-31,2024-01-01,BAHL,Bank Al-Habib Ltd.,83.08,722426520.0,722426520.0,1.0,60019195281.6,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4777893311922981,1.0,0.738894665596149,13.0,True
2023-12-31,2024-01-01,CHCC,Cherat Cement Company Limited,166.62,116577023.0,116577023.0,1.0,19424063572.26,,0.5873015873015873,108,,,,,True,True,False,True,True,True,True,False,,,,,
2023-12-31,2024-01-01,DGKC,D. G. Khan Cement Co. Ltd.,81.38,219059559.0,219059559.0,1.0,17827066911.42,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.0986010285305348,1.0,0.5493005142652674,20.0,True
2023-12-31,2024-01-01,EFERT,Engro Fertilizers Limited,115.62,600884719.0,600884719.0,1.0,69474291210.78,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5627639915231065,1.0,0.7813819957615533,11.0,True
2023-12-31,2024-01-01,ENGRO,Engro Corporation Limited.,299.33,268313234.0,268313234.0,1.0,80314200333.22,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6601842189428463,1.0,0.8300921094714231,5.0,True
2023-12-31,2024-01-01,EPCL,Engro Polymer & Chemicals Ltd.,48.08,227230833.0,227230833.0,1.0,10925258450.64,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.03657322532093341,1.0,0.5182866126604667,23.0,True
2023-12-31,2024-01-01,FCCL,Fauji Cement Company Limited,19.96,858496527.0,858496527.0,1.0,17135590678.92,,0.5873015873015873,108,,,,,True,True,False,True,True,True,True,False,,,,,
2023-12-31,2024-01-01,FFC,Fauji Fertilizer Company Limited,115.98,699731036.0,699731036.0,1.0,81154805555.28,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6677388903868882,1.0,0.8338694451934441,4.0,True
2023-12-31,2024-01-01,HBL,Habib Bank Limited,115.75,586741003.0,586741003.0,1.0,67915271097.25,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5487527952763013,1.0,0.7743763976381506,12.0,True
2023-12-31,2024-01-01,HUBC,The Hub Power Company Limited,121.42,972865790.0,972865790.0,1.0,118125364221.8,,1.0,182,,,,,True,True,True,True,True,True,True,True,1.0,1.0,1.0,1.0,True
2023-12-31,2024-01-01,KAPCO,Kot Addu Power Company.,30.47,456246245.0,456246245.0,1.0,13901823085.15,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.06332415102963958,1.0,0.5316620755148198,22.0,True
2023-12-31,2024-01-01,LUCK,Lucky Cement Limited.,810.68,94012500.0,87900000.0,1.0695392491467577,76214053500.0,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6233354564269566,1.0,0.8116677282134783,8.0,True
2023-12-31,2024-01-01,MARI,Mari Petroleum Company Ltd.,2147.3,26680500.0,26680500.0,1.0,57291037650.0,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.45327088422882894,1.0,0.7266354421144144,14.0,True
2023-12-31,2024-01-01,MCB,MCB Bank Limited,179.07,414771002.0,414771002.0,1.0,74273043328.14,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6058912463112849,1.0,0.8029456231556424,9.0,True
2023-12-31,2024-01-01,MEBL,Meezan Bank Limited,164.34,447813299.0,447813299.0,1.0,73593637557.66,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5997853035471129,1.0,0.7998926517735565,10.0,True
2023-12-31,2024-01-01,MLCF,Maple Leaf Cement Factory Ltd.,40.83,483005804.0,483005804.0,1.0,19721126977.32,,0.5873015873015873,108,,,,,True,True,False,True,True,True,True,False,,,,,
2023-12-31,2024-01-01,MTL,Millat Tractors Limited,598.42,86309203.0,86309203.0,1.0,51649153259.26,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4025662469285071,1.0,0.7012831234642536,16.0,True
2023-12-31,2024-01-01,OGDC,Oil & Gas Development Company Limited,120.88,645139260.0,645139260.0,1.0,77984433748.8,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6392461845068143,1.0,0.8196230922534071,6.0,True
2023-12-31,2024-01-01,PIOC,Pioneer Cement Limited,117.08,113574397.0,113574397.0,1.0,13297290400.76,,0.5873015873015873,108,,,,,True,True,False,True,True,True,True,False,,,,,
2023-12-31,2024-01-01,POL,Pakistan Oilfields Limited,437.02,129859769.0,129859769.0,1.0,56751316248.38,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4484203101976985,1.0,0.7242101550988492,15.0,True
2023-12-31,2024-01-01,PPL,Pakistan Petroleum Limited.,123.66,667914508.0,667914508.0,1.0,82594308059.28,,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6806759602208646,1.0,0.8403379801104323,3.0,True
